Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
220,The Lord of the Rings: War in the North,2011.0,Action,Warner Bros. Interactive Entertainment,0.04,0.11,0.0,0.03,0.18
221,Evolve,2015.0,Shooter,Take-Two Interactive,0.07,0.1,0.0,0.01,0.18
222,Borderlands,2009.0,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.04,0.18
223,Company of Heroes: Anthology,2009.0,Strategy,THQ,0.0,0.15,0.0,0.04,0.18
224,Driver: San Francisco,2011.0,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18
225,Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,0.11,0.06,0.0,0.02,0.18
226,FIFA Soccer 11,2010.0,Sports,Electronic Arts,0.0,0.14,0.0,0.04,0.18
227,LEGO Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.04,0.12,0.0,0.02,0.18
228,Aliens: Colonial Marines,2013.0,Shooter,Sega,0.1,0.06,0.0,0.02,0.18
229,Dark Souls II,2014.0,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.02,0.18
230,Tom Clancy's Ghost Recon: Future Soldier,2012.0,Shooter,Ubisoft,0.05,0.1,0.0,0.03,0.18
231,Brink,2011.0,Shooter,Bethesda Softworks,0.06,0.09,0.0,0.03,0.18
232,FIFA 16,2015.0,Sports,Electronic Arts,0.04,0.13,0.0,0.01,0.18
233,Doom (2016),2016.0,Shooter,Bethesda Softworks,0.06,0.1,0.0,0.01,0.18
234,Star Wars: Battlefront II,2005.0,Shooter,LucasArts,0.02,0.13,0.0,0.03,0.18
235,Monkey Island: Special Edition Collection,2011.0,Adventure,LucasArts,0.0,0.14,0.0,0.04,0.17
236,Dungeon Siege III,2011.0,Role-Playing,Square Enix,0.08,0.08,0.0,0.02,0.17
237,The Secret World,2012.0,Role-Playing,Funcom,0.07,0.08,0.0,0.02,0.17
238,Age of Empires III: Complete Collection,2009.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17
239,Sid Meier's Civilization IV,2005.0,Strategy,Take-Two Interactive,0.02,0.12,0.0,0.03,0.17
240,Wildstar,2014.0,Role-Playing,NCSoft,0.08,0.07,0.0,0.02,0.17
241,The Sims 3: Seasons,2012.0,Simulation,Electronic Arts,0.0,0.13,0.0,0.03,0.17
242,NBA 2K12,2011.0,Sports,Take-Two Interactive,0.09,0.05,0.0,0.02,0.16
243,The Crew,2014.0,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16
244,Bulletstorm,2011.0,Shooter,Electronic Arts,0.07,0.07,0.0,0.02,0.16
245,Sniper: Ghost Warrior,2010.0,Shooter,City Interactive,0.0,0.13,0.0,0.03,0.16
246,DiRT 3,2011.0,Racing,Codemasters,0.0,0.13,0.0,0.03,0.16
247,Darksiders II,2012.0,Action,Nordic Games,0.03,0.1,0.0,0.03,0.16
248,F.E.A.R. 3,2011.0,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0.0,0.03,0.15
249,Deponia,2012.0,Adventure,Daedalic,0.0,0.13,0.0,0.03,0.15
250,Darksiders,2010.0,Action,THQ,0.07,0.06,0.0,0.02,0.15
251,The Sims Medieval: Pirates and Nobles,2011.0,Simulation,Electronic Arts,0.05,0.08,0.0,0.02,0.15
252,Terraria,2011.0,Action,Unknown,0.0,0.13,0.0,0.02,0.15
253,F1 2012,2012.0,Racing,Codemasters,0.01,0.11,0.0,0.03,0.15
254,Alien: Isolation,2014.0,Shooter,Sega,0.0,0.13,0.0,0.01,0.15
255,Dragon Age: Origins - Ultimate Edition,2010.0,Role-Playing,Electronic Arts,0.0,0.12,0.0,0.02,0.14
256,ArmA II,2009.0,Shooter,505 Games,0.0,0.12,0.0,0.03,0.14
257,Age of Empires: Collector's Edition,2000.0,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14
258,The Orange Box,2007.0,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14
259,Star Wars: Knights of the Old Republic,2003.0,Role-Playing,LucasArts,0.01,0.1,0.0,0.02,0.14
260,Risen,2009.0,Role-Playing,Deep Silver,0.0,0.11,0.0,0.03,0.14
261,Just Cause 3,2015.0,Action,Square Enix,0.03,0.11,0.0,0.01,0.14
262,The Darkness II,2012.0,Shooter,Take-Two Interactive,0.1,0.03,0.0,0.01,0.14
263,Cities: Skylines,2015.0,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14
264,Far Cry: Primal,2016.0,Action,Ubisoft,0.04,0.09,0.0,0.01,0.14
265,Dead Rising 2,2010.0,Action,Capcom,0.1,0.02,0.0,0.01,0.14
266,Dragon Age Origins: Awakening,2010.0,Role-Playing,Electronic Arts,0.01,0.1,0.0,0.02,0.14
267,Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.0,0.13,0.0,0.01,0.14
268,Red Orchestra 2: Heroes of Stalingrad,2011.0,Shooter,Tripwire Interactive,0.04,0.07,0.0,0.02,0.14
269,Euro Truck Simulator 2,2012.0,Action,SCS Software,0.0,0.12,0.0,0.02,0.13
270,Diablo II,2000.0,Role-Playing,Havas Interactive,0.01,0.09,0.0,0.02,0.13
271,Warcraft III: Reign of Chaos,2002.0,Strategy,Vivendi Games,0.03,0.08,0.0,0.02,0.13
272,Just Cause 2,2010.0,Action,Square Enix,0.0,0.1,0.0,0.03,0.13
273,Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,0.08,0.03,0.0,0.01,0.13
274,The Stronghold Collection,2009.0,Strategy,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13
